the_year,series,cpu_name,PercSalesWRTTotalSeriesSales
2017,Intel Core Solo,Intel Core Solo T1300,48.510999470141491
2017,Intel Pentium,Intel Pentium G4600,2.246111851108287
2017,Intel Xeon,Intel Xeon E5-2687Wv4,.540623164251158
2018,Amd A-Series,Amd A10-7890K,1.234669654027579
2018,Amd Athlon,Amd Athlon X4 880K,2.025069317622283
2018,Amd Epyc,Amd Epyc 7601,6.914223018276510
2018,Amd Fx,Amd Fx-9590,1.527213323263300
2018,Amd Opteron,Amd Opteron 6378,.903700325667797
2018,Amd Phenom,Amd Phenom Ii X4 955,1.826301364380620
2018,Amd Ryzen,Amd Ryzen Threadripper 1950X,8.858477741000928
2018,Amd Sempron,Amd Sempron 3850,5.735888407376936
2018,Amd Turion,Amd Turion 64 X2 Rm-72,10.868822014861643
2018,Intel Celeron,Intel Celeron G3930,1.612281096304118
2018,Intel Core 2 Duo,Intel Core 2 Duo E8400,.954332708331064
2018,Intel Core 2 Extreme,Intel Core 2 X9100,3.183750509755530
2018,Intel Core 2 Quad,Intel Core 2 Quad Q9650,2.462361049305228
2018,Intel Core Duo,Intel Core Duo T2600,3.167893841252492
2018,Intel Core I3,Intel Core I3-8350K,.902581589780753
2018,Intel Core I5,Intel Core I5-8600K,.767783012230967
2018,Intel Core I7,Intel Core I7-6950X,2.051745544614448
2018,Intel Core I9,Intel Core I9-7980Xe,11.749923941514683
2018,Intel Core Solo,Intel Core Solo T1300,51.489000529858508
2018,Intel Pentium,Intel Pentium G4600,.893975533553044
2018,Intel Xeon,Intel Xeon Platinum 8180M,.262662054696130
